PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HomePlanet_int,Cabin_int,Destination_int,Name_int
3282_03,False,0.5443037974683544,False,0.0,0.04830107671150169,0.0,0.00379328811138879,0.006215555463473252,True,0,2304,0,2960
8276_02,True,0.2911392405063291,False,0.0,0.0,0.0,0.0,0.0,True,0,5856,0,7564
1911_01,False,0.5822784810126582,False,0.000558386263697913,0.021869654177707712,0.0,0.00022313459478757588,0.0037293332780839513,False,1,1333,0,1751
1808_01,False,0.4177215189873418,False,0.0,0.0255928621742193,0.00034054146092286734,8.925383791503035e-05,0.0012431110926946504,False,1,1261,0,1662
6995_01,False,0.3037974683544304,False,0.0,0.0019454600342132626,0.0263068278562915,0.0,0.0016989184933493557,False,1,4975,2,6463
5608_01,False,0.17721518987341772,False,0.0020939484888671737,0.025391607687921376,0.004895283500766218,0.0,0.0,True,1,3963,0,5120
3962_02,False,0.6962025316455696,False,0.0,0.04035152450273371,0.0,0.0,0.018480918244727137,False,1,2786,1,3596
1590_02,False,0.4177215189873418,False,0.0,0.0008721027739576695,4.256768261535842e-05,0.0014726883255980008,0.10106493183607508,False,0,1103,2,1462
3323_02,True,0.6708860759493671,False,0.0,0.0,0.0,0.0,0.0,True,0,2335,2,3008
5152_01,False,0.5063291139240507,False,0.0,0.018548955153791968,0.0004256768261535842,0.12437522313459479,0.002154725894004061,False,0,3624,0,4700
2329_01,True,0.3670886075949367,False,0.0,0.015365015372161363,0.0,0.0,0.0,True,2,1633,0,2120
5252_01,False,0.4430379746835443,False,0.014099253158372304,0.04390702042733036,0.002554060956921505,0.0,0.0,True,1,3704,0,4794
7780_01,False,0.4177215189873418,False,0.0,0.0017777479622983262,0.026179124808445427,0.0004016422706176366,0.0,True,1,5507,2,7089
4932_02,True,0.0379746835443038,False,0.0,0.0,0.0,0.0,0.0,True,2,3479,2,4509
3487_01,False,0.5822784810126582,False,0.0,0.0,0.0,0.0682345590860407,0.12717026478266275,False,0,2454,2,3169
0740_01,False,0.8481012658227848,False,0.0053046695051301735,0.0005366786301277966,0.0,0.1002766868975366,0.04831558446939875,False,0,526,2,694
1997_01,0.0,0.5316455696202531,False,0.002582536469602848,0.05601583201958877,0.0,0.0,0.0,True,1,1392,0,1823
4362_01,False,0.5443037974683544,False,0.0,0.06530708080367624,0.0,0.0,0.06841254713462894,True,0,3078,0,3983
3566_01,False,0.24050632911392406,False,0.0,0.011270251232683728,0.021624382768602075,4.4626918957515175e-05,0.0,True,1,2508,2,3243
8410_01,False,0.6582278481012658,False,0.020171703776087107,0.01012980914366216,0.0,0.004998214923241699,0.0,False,1,5948,0,7683
3455_01,True,0.16455696202531644,False,0.0,0.0,0.0,0.0,0.0,True,2,2431,0,3135
8638_02,False,0.05063291139240506,False,0.0,0.0,0.0,0.0,0.0,True,1,6103,0,7879
4254_01,False,0.4177215189873418,False,0.3834019683115795,0.3153322376144635,0.0009790567001532436,0.13446090681899323,0.01255542203621597,False,0,3001,2,3882
5945_01,True,0.08860759493670886,False,0.0,0.0,0.0,0.0,0.0,True,1,4209,0,5435
3271_01,True,0.6455696202531646,False,0.0,0.0,0.0,0.0,0.0,False,1,2295,0,2942
6731_01,False,0.4050632911392405,False,0.21881761708661968,6.708482876597457e-05,0.0,0.0,0.0,False,1,4786,0,6197
0591_01,True,0.24050632911392406,False,0.0,0.0,0.0,0.0,0.0,False,1,421,1,555
5767_01,True,0.4177215189873418,False,0.0,0.0,0.0,0.0,0.0,True,1,4074,1,5259
